context,response,text,label
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Hi there,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hi there,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Hello?,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hi can you help me?,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hey again,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hey man,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hey there,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hello? anyone?,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hi again,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hello ,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hi hi,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",How are you?,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']","hello, are you there?",greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']","hi there, can you help me?",greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']","hello, good day",greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Is anyone there?,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Hello,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hello,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Good day,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hi fam,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Hey,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Good morning,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Good afternoon,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",good evening,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",yo,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",You there?,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Hey there,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hey bot,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",hey dude,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",yo dude,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",yo man,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Hey man,greeting
[''],"['Hello, how can I help you?', 'Good to see you again', 'Hi there, how can I help?']",Are you there?,greeting
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Bye,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",See you later,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",bye bye,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",later,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",I will see you later,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",see you later then,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Goodbye,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']","Nice chatting to you, bye",goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Till next time,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Later,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Ciao,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",See you,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Bye bye,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Farewell,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Good talk,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Good chat,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",Peace out,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",talk to you later,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']",ok bye,goodbye
[''],"['See you!', 'Have a nice day', 'Bye! Come back again soon.']","alright, see you later",goodbye
